,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,target_tree1,Ok
40,5.0,3.5,1.3,0.3,0.0,0,True
41,4.5,2.3,1.3,0.3,0.0,0,True
42,4.4,3.2,1.3,0.2,0.0,0,True
43,5.0,3.5,1.6,0.6,0.0,0,True
44,5.1,3.8,1.9,0.4,0.0,0,True
45,4.8,3.0,1.4,0.3,0.0,0,True
46,5.1,3.8,1.6,0.2,0.0,0,True
47,4.6,3.2,1.4,0.2,0.0,0,True
48,5.3,3.7,1.5,0.2,0.0,0,True
49,5.0,3.3,1.4,0.2,0.0,0,True
50,7.0,3.2,4.7,1.4,1.0,1,True
51,6.4,3.2,4.5,1.5,1.0,1,True
52,6.9,3.1,4.9,1.5,1.0,1,True
53,5.5,2.3,4.0,1.3,1.0,1,True
54,6.5,2.8,4.6,1.5,1.0,1,True
55,5.7,2.8,4.5,1.3,1.0,1,True
56,6.3,3.3,4.7,1.6,1.0,1,True
57,4.9,2.4,3.3,1.0,1.0,1,True
58,6.6,2.9,4.6,1.3,1.0,1,True
59,5.2,2.7,3.9,1.4,1.0,1,True
60,5.0,2.0,3.5,1.0,1.0,1,True
61,5.9,3.0,4.2,1.5,1.0,1,True
62,6.0,2.2,4.0,1.0,1.0,1,True
63,6.1,2.9,4.7,1.4,1.0,1,True
64,5.6,2.9,3.6,1.3,1.0,1,True
65,6.7,3.1,4.4,1.4,1.0,1,True
66,5.6,3.0,4.5,1.5,1.0,1,True
67,5.8,2.7,4.1,1.0,1.0,1,True
68,6.2,2.2,4.5,1.5,1.0,1,True
69,5.6,2.5,3.9,1.1,1.0,1,True
70,5.9,3.2,4.8,1.8,1.0,1,True
71,6.1,2.8,4.0,1.3,1.0,1,True
72,6.3,2.5,4.9,1.5,1.0,1,True
73,6.1,2.8,4.7,1.2,1.0,1,True
74,6.4,2.9,4.3,1.3,1.0,1,True
75,6.6,3.0,4.4,1.4,1.0,1,True
76,6.8,2.8,4.8,1.4,1.0,1,True
77,6.7,3.0,5.0,1.7,1.0,1,True
78,6.0,2.9,4.5,1.5,1.0,1,True
79,5.7,2.6,3.5,1.0,1.0,1,True
80,5.5,2.4,3.8,1.1,1.0,1,True
81,5.5,2.4,3.7,1.0,1.0,1,True
82,5.8,2.7,3.9,1.2,1.0,1,True
83,6.0,2.7,5.1,1.6,1.0,1,True
84,5.4,3.0,4.5,1.5,1.0,1,True
85,6.0,3.4,4.5,1.6,1.0,1,True
86,6.7,3.1,4.7,1.5,1.0,1,True
87,6.3,2.3,4.4,1.3,1.0,1,True
88,5.6,3.0,4.1,1.3,1.0,1,True
89,5.5,2.5,4.0,1.3,1.0,1,True
90,5.5,2.6,4.4,1.2,1.0,1,True
91,6.1,3.0,4.6,1.4,1.0,1,True
92,5.8,2.6,4.0,1.2,1.0,1,True
93,5.0,2.3,3.3,1.0,1.0,1,True
94,5.6,2.7,4.2,1.3,1.0,1,True
95,5.7,3.0,4.2,1.2,1.0,1,True
96,5.7,2.9,4.2,1.3,1.0,1,True
97,6.2,2.9,4.3,1.3,1.0,1,True
98,5.1,2.5,3.0,1.1,1.0,1,True
99,5.7,2.8,4.1,1.3,1.0,1,True
100,6.3,3.3,6.0,2.5,2.0,1,False
101,5.8,2.7,5.1,1.9,2.0,1,False
102,7.1,3.0,5.9,2.1,2.0,1,False
103,6.3,2.9,5.6,1.8,2.0,1,False
104,6.5,3.0,5.8,2.2,2.0,1,False
105,7.6,3.0,6.6,2.1,2.0,1,False
106,4.9,2.5,4.5,1.7,2.0,2,True
107,7.3,2.9,6.3,1.8,2.0,1,False
108,6.7,2.5,5.8,1.8,2.0,1,False
109,7.2,3.6,6.1,2.5,2.0,1,False
110,6.5,3.2,5.1,2.0,2.0,1,False
111,6.4,2.7,5.3,1.9,2.0,1,False
112,6.8,3.0,5.5,2.1,2.0,1,False
113,5.7,2.5,5.0,2.0,2.0,1,False
114,5.8,2.8,5.1,2.4,2.0,1,False
115,6.4,3.2,5.3,2.3,2.0,1,False
116,6.5,3.0,5.5,1.8,2.0,1,False
117,7.7,3.8,6.7,2.2,2.0,1,False
118,7.7,2.6,6.9,2.3,2.0,1,False
119,6.0,2.2,5.0,1.5,2.0,2,True
120,6.9,3.2,5.7,2.3,2.0,1,False
121,5.6,2.8,4.9,2.0,2.0,1,False
122,7.7,2.8,6.7,2.0,2.0,1,False
123,6.3,2.7,4.9,1.8,2.0,1,False
124,6.7,3.3,5.7,2.1,2.0,1,False
125,7.2,3.2,6.0,1.8,2.0,1,False
126,6.2,2.8,4.8,1.8,2.0,2,True
127,6.1,3.0,4.9,1.8,2.0,1,False
128,6.4,2.8,5.6,2.1,2.0,1,False
129,7.2,3.0,5.8,1.6,2.0,1,False
130,7.4,2.8,6.1,1.9,2.0,1,False
131,7.9,3.8,6.4,2.0,2.0,1,False
132,6.4,2.8,5.6,2.2,2.0,1,False
133,6.3,2.8,5.1,1.5,2.0,2,True
134,6.1,2.6,5.6,1.4,2.0,2,True
135,7.7,3.0,6.1,2.3,2.0,1,False
136,6.3,3.4,5.6,2.4,2.0,1,False
137,6.4,3.1,5.5,1.8,2.0,1,False
138,6.0,3.0,4.8,1.8,2.0,2,True
139,6.9,3.1,5.4,2.1,2.0,1,False
140,6.7,3.1,5.6,2.4,2.0,1,False
141,6.9,3.1,5.1,2.3,2.0,1,False
142,5.8,2.7,5.1,1.9,2.0,1,False
143,6.8,3.2,5.9,2.3,2.0,1,False
144,6.7,3.3,5.7,2.5,2.0,1,False
145,6.7,3.0,5.2,2.3,2.0,1,False
146,6.3,2.5,5.0,1.9,2.0,1,False
147,6.5,3.0,5.2,2.0,2.0,1,False
148,6.2,3.4,5.4,2.3,2.0,1,False
149,5.9,3.0,5.1,1.8,2.0,1,False
